"","V1","V1","precinct","date","description","latitude","longitude"
"72",423173,558440,67,2007-01-20,"CRIMINAL MISCHIEF & RELATED OF",40.651436362,-73.925503111
"73",358736,1696470,1,2009-03-18,"OFF. AGNST PUB ORD SENSBLTY &",40.70501,-74.00715
"74",698760,589358,26,2007-02-12,"ROBBERY",40.814850289,-73.956681848
"75",659775,2663995,84,2011-02-09,"PETIT LARCENY",40.68571,-73.98168
"76",984456,4814541,9,2015-06-15,"DANGEROUS DRUGS",40.72446,-73.97334
"77",116819,6232498,102,2018-06-06,"ASSAULT 3 & RELATED OFFENSES",40.69066,-73.8645
"78",247267,1443981,14,2008-09-15,"PETIT LARCENY",40.74973,-73.98968
"79",624340,2209225,106,2010-03-20,"FRAUDS",40.66287,-73.83833
"80",70449,7120403,77,2020-05-27,"OFFENSES AGAINST PUBLIC ADMINI",40.67125,-73.92671
"81",459981,6038492,122,2018-01-03,"GRAND LARCENY",40.57414,-74.10601
"82",157474,5815534,25,2017-07-17,"CRIMINAL MISCHIEF & RELATED OF",40.79923,-73.93306
"83",697537,7357364,52,2020-12-20,"PETIT LARCENY",40.87973,-73.87566
"84",838035,6817236,45,2019-09-03,"PETIT LARCENY",40.84176,-73.8522
"85",294609,3161881,52,2012-02-04,"FELONY ASSAULT",40.86906,-73.87963
"86",969041,1043298,32,2007-12-15,"PETIT LARCENY",40.82306,-73.94242
"87",368996,1770974,7,2009-05-11,"PETIT LARCENY",40.71611,-73.97939
"88",775932,3482832,106,2012-09-17,"ROBBERY",40.67841,-73.84702
"89",924063,3691297,44,2013-02-27,"FELONY ASSAULT",40.84333,-73.92376
"90",808769,1725163,30,2009-04-08,"ROBBERY",40.82016,-73.95312
"91",741221,7015060,10,2020-02-12,"PETIT LARCENY",40.75022,-74.00233
"92",987713,5624253,83,2017-02-18,"PETIT LARCENY",40.69521,-73.927
"93",792411,2838449,28,2011-06-15,"MISCELLANEOUS PENAL LAW",40.80488,-73.95142
"94",752321,6517649,44,2019-01-05,"FELONY ASSAULT",40.81874,-73.92783
"95",846421,6856023,18,2019-10-02,"PETIT LARCENY",40.76651,-73.98236
"96",498325,5023245,45,2015-11-12,"PETIT LARCENY",40.82303,-73.81709
"97",498084,5390428,115,2016-08-19,"VEHICLE AND TRAFFIC LAWS",40.7501,-73.88106
"98",280281,146036,23,2006-04-15,"CRIMINAL MISCHIEF & RELATED OF",NA,NA
"99",419829,6242584,40,2018-06-14,"SEX CRIMES",40.8104,-73.92531
"100",471541,6290892,103,2018-07-20,"ASSAULT 3 & RELATED OFFENSES",40.70793,-73.78303
